Timestamp,Room,Type,locked,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data0,Mat1,Mat2,Mat3,Mat4,Mat5,Mat6,Mat7,Mat8,Mat9,Mat10,Mat0
4/4/2021 22:45:31,DORM - Dorms,Small locker,No,,,,,,,,,,,,Encrypted Memory Chip,Ion Bettery,,,,,,,,,
4/4/2021 22:45:49,DORM - Dorms,Small locker,No,,,,,,,,,,,,Memory Chip,,,,,,,,,,
4/4/2021 22:47:06,MED - Medical,Small locker,No,,,,,,,,,,,,PH Neutraliser,Micro Transformer,Chemical Superbase,Chemical Superbase,,,,,,,
4/4/2021 22:48:49,(CORR) - Corridor (blank doors),Small locker,No,,,,,,,,,,,,Ion Bettery,Ion Bettery,Circuit Switch,Circuit Switch,,,,,,,
4/4/2021 22:51:41,(CORR) - Corridor (blank doors),Yellow Container,Yes,,,,,,,,,,,,Infinity,G-Meds,Insight Entertainment Suite,Compact Library,,,,,,,
4/4/2021 22:54:15,SEC - Security,Data port,No,Combat Training Meterial,,,,,,,,,,Weapon Test Data,,,,,,,,,,,
4/4/2021 22:55:15,SEC - Security,Small locker,No,,,,,,,,,,,,Transmitter,,,,,,,,,,
4/4/2021 22:55:59,SEC - Security,Large Locker,No,,,,,,,,,,,,Optical Lens,Ion Bettery,Epoxy Adhesive,,,,,,,,
4/4/2021 22:56:23,SEC - Security,Small locker,No,,,,,,,,,,,,Encrypted Memory Chip,Encrypted Memory Chip,,,,,,,,,
4/4/2021 22:58:04,OPR - Operations,Small locker,No,,,,,,,,,,,,Electromagnet,,,,,,,,,,
4/4/2021 22:58:35,OPR - Operations,Small locker,Yes,,,,,,,,,,,,Ship Schematic,Compact Library,,,,,,,,,
4/4/2021 22:59:02,OPR - Operations,Small locker,No,,,,,,,,,,,,Transmitter,Transmitter,,,,,,,,,
4/4/2021 23:00:08,(CORR) - Corridor (blank doors),Small locker,No,,,,,,,,,,,,Metal Coil,Memory Chip,Optical Lens,Ion Bettery,,,,,,,
4/4/2021 23:03:13,STO - Storage,Data port,No,Exploration Journals,Meeting Minutes,Production Schedule,,,,,,,,,,,,,,,,,,,
4/4/2021 23:04:05,STO - Storage,Small locker,No,,,,,,,,,,,,RDX,,,,,,,,,,
4/4/2021 23:04:39,STO - Storage,Small locker,No,,,,,,,,,,,,Micro Thrusters,Epoxy Adhesive,Circuit Switch,,,,,,,,
4/4/2021 23:05:26,STO - Storage,Small locker,No,,,,,,,,,,,,Metal Coil,Metal Coil,Optical Fiber,,,,,,,,
4/4/2021 23:07:41,STO - Storage,Small locker,No,,,,,,,,,,,,Optical Fiber,,,,,,,,,,
4/4/2021 23:07:54,STO - Storage,Small locker,No,,,,,,,,,,,,Electromagnet,,,,,,,,,,
4/4/2021 23:42:07,PWR - Power,Data port,No,Air Quality Reports,Radioactivity Data,,,,,,,,,,,,,,,,,,,,
4/4/2021 23:45:43,PROC - Production,Large Locker,No,,,,,,,,,,,,Micro Thrusters,Micro Hydraulics,Motor,,,,,,,,Tungsten Carbide
4/4/2021 23:47:20,PROC - Production,Small locker,Yes,,,,,,,,,,,,G-Meds,Inertia Canister,G-Meds,Compression-Liquified Gas,,,,,,,
4/4/2021 23:48:19,PROC - Production,Small locker,Yes,,,,,,,,,,,,Inertia Canister,,,,,,,,,,
4/4/2021 23:50:41,SEC - Security,Small locker,Yes,,,,,,,,,,,,Insight Data Bank,,,,,,,,,,
4/4/2021 23:51:06,SEC - Security,Small locker,Yes,,,,,,,,,,,,Surveillance Equipment,,,,,,,,,,
4/4/2021 23:51:52,SEC - Security,Small locker,No,,,,,,,,,,,,Graphien,Graphien,Scrambler,Viscoelastic Polymer,,,,,,,
4/4/2021 23:52:08,SEC - Security,Small locker,No,,,,,,,,,,,,Weapon Component,,,,,,,,,,
4/4/2021 23:52:47,SEC - Security,Data port,No,,,,,,,,,,,Security Plans,,,,,,,,,,,
4/4/2021 23:54:54,OPR - Operations,Small locker,No,,,,,,,,,,,,Micro Transformer,Micro Transformer,Transmitter,,,,,,,,
4/4/2021 23:55:33,OPR - Operations,Small locker,No,,,,,,,,,,,,Memory Chip,Micro Supercapacitor,Micro Supercapacitor,,,,,,,,
4/5/2021 0:43:34,PWR - Power,Small locker,No,,,,,,,,,,,,Titanium Plating,,,,,,,,,,
4/5/2021 0:44:06,PWR - Power,Small locker,No,,,,,,,,,,,,Aerogel,Ion Bettery,,,,,,,,,
4/5/2021 0:55:11,OPR - Operations,Large Locker,Yes,,,,,,,,,,,,Buildings Schematic,Suit Schematic,Weapon Schematic,Surveillance Equipment,Weapon Schematic,Buildings Schematic,Compact Library,,,,
4/5/2021 1:00:39,SEC - Security,Small locker,No,,,,,,,,,,,,Graphien,Graphien,Weapon Component,,,,,,,,
4/5/2021 1:02:30,SEC - Security,Large Locker,No,,,,,,,,,,,,Graphien,Graphien,Metal Coil,Metal Coil,Metal Coil,Metal Coil,Circuit Switch,Circuit Switch,Ion Bettery,,
4/5/2021 1:04:37,PROC - Production,Data port,No,Chemical Inventory,Exploration Journals,Production Reports,Sales Records,,,,,,,,,,,,,,,,,,
4/5/2021 1:06:10,Lab - Laboratory,Data port,No,Financial Projections,Maintenance Logs,Meeting Minutes,Operational Manual,Purchase Requests,,,,,,,,,,,,,,,,,
4/5/2021 1:06:57,Lab - Laboratory,Data port,No,,,,,,,,,,,Blood Test Results,,,,,,,,,,,
4/5/2021 1:11:09,PROC - Production,Data port,,Chemical Inventory,Evacuation Protocols,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:12:39,PROC - Production,Data port,,Evacuation Protocols,Manufacturing Instructions,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:13:27,PROC - Production,Data port,,Evacuation Protocols,Purchase Requests,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:14:10,Lab - Laboratory,Data port,,Reactor Output Review,,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:18:07,PROC - Production,Data port,,Duty Rota,Purchase Records,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:19:29,PROC - Production,Data port,,Duty Rota,Faction News,Production Schedule,Purchase Requests,,,,,,,,,,,,,,,,,,
4/5/2021 1:20:10,PROC - Production,Data port,,Chemical Experiment Data,Maintenance Logs,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:21:26,Lab - Laboratory,Data port,,Chemical Experiment Data,Manufacturing Instructions,,,,,,,,,Hydroponic Data,,,,,,,,,,,
4/5/2021 1:26:33,PROC - Production,Data port,,Evacuation Protocols,Financial Projections,Meeting Minutes,Production Schedule,,,,,,,,,,,,,,,,,,
4/5/2021 1:27:36,PROC - Production,Data port,,Chemical Inventory,Operational Manual,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:28:28,PROC - Production,Data port,,Exploration Journals,Purchase Records,Purchase Requests,Union Membership,Union Membership,,,,,,,,,,,,,,,,,
4/5/2021 1:29:09,Lab - Laboratory,Data port,,Chemical Patents,,,,,,,,,,,,,,,,,,,,,
